sample_id,status,original_performance,optimized_performance,param_changes,top_params
2603,success,[128.  284.   49.5],[159.18  326.25   45.975],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.11615542), 'change_pct': np.float32(480.77707)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.10092358), 'change_pct': np.float32(2038.3185)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.67206115), 'change_pct': np.float32(-12.632052)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.0500411), 'change_pct': np.float32(3452.918)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.8752564), 'change_pct': np.float32(-4.8301945)}]","[2, 0, 5, 1, 12]"
2608,success,[158.  273.   50.5],[177.9  303.72  47.06],"[{'param_index': np.int64(2), 'original': np.float32(0.03), 'optimized': np.float32(0.11408988), 'change_pct': np.float32(280.2996)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.040837865), 'change_pct': np.float32(1053.6697)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.7723116), 'change_pct': np.float32(-9.896978)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.9678714), 'optimized': np.float32(0.9006597), 'change_pct': np.float32(-6.9442844)}]","[2, 0, 5, 1, 12]"
2611,success,[132. 280.  45.],[162.22 305.4   45.94],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.0778863), 'change_pct': np.float32(419.2419)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.0814917), 'change_pct': np.float32(2662.5684)}, {'param_index': np.int64(5), 'original': np.float32(0.7802198), 'optimized': np.float32(0.8546704), 'change_pct': np.float32(9.542261)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.098189905), 'change_pct': np.float32(6871.483)}, {'param_index': np.int64(12), 'original': np.float32(0.92369485), 'optimized': np.float32(0.87683135), 'change_pct': np.float32(-5.0734825)}]","[2, 0, 5, 1, 12]"
2632,success,[133. 277.  49.],[162.77  326.85   45.445],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.10317881), 'change_pct': np.float32(415.89398)}, {'param_index': np.int64(0), 'original': np.float32(0.0053097345), 'optimized': np.float32(0.04365064), 'change_pct': np.float32(722.087)}, {'param_index': np.int64(5), 'original': np.float32(0.74725276), 'optimized': np.float32(0.653769), 'change_pct': np.float32(-12.510325)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8751694), 'change_pct': np.float32(-7.269293)}]","[2, 0, 5, 1, 12]"
2649,success,[455.  556.   18.5],[423.8   525.11   30.445],"[{'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.60137504), 'change_pct': np.float32(-12.958876)}, {'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.3725), 'change_pct': np.float32(-20.74468)}, {'param_index': np.int64(0), 'original': np.float32(0.38053095), 'optimized': np.float32(0.2817109), 'change_pct': np.float32(-25.968992)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.18169016), 'change_pct': np.float32(-35.499996)}, {'param_index': np.int64(8), 'original': np.float32(0.6962026), 'optimized': np.float32(0.7523624), 'change_pct': np.float32(8.066587)}]","[6, 2, 0, 1, 8]"
2678,success,[132. 281.  44.],[164.92  327.17   44.815],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09927602), 'change_pct': np.float32(892.76025)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.038108602), 'change_pct': np.float32(1191.8817)}, {'param_index': np.int64(5), 'original': np.float32(0.80219775), 'optimized': np.float32(0.7052644), 'change_pct': np.float32(-12.083475)}, {'param_index': np.int64(1), 'original': np.float32(0.0), 'optimized': np.float32(0.08819175), 'change_pct': np.float32(inf)}, {'param_index': np.int64(12), 'original': np.float32(0.92369485), 'optimized': np.float32(0.82636225), 'change_pct': np.float32(-10.537311)}]","[2, 0, 5, 1, 12]"
2680,success,[461. 569.  20.],[419.53  540.08   29.825],"[{'param_index': np.int64(6), 'original': np.float32(0.7090909), 'optimized': np.float32(0.60909086), 'change_pct': np.float32(-14.102568)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.3625), 'change_pct': np.float32(-21.195652)}, {'param_index': np.int64(0), 'original': np.float32(0.38053095), 'optimized': np.float32(0.2817109), 'change_pct': np.float32(-25.968992)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.18169016), 'change_pct': np.float32(-35.499996)}, {'param_index': np.int64(8), 'original': np.float32(0.56962025), 'optimized': np.float32(0.6696203), 'change_pct': np.float32(17.555561)}]","[6, 2, 0, 1, 8]"
2707,success,[497.  598.   16.5],[430.03  552.84   26.945],"[{'param_index': np.int64(6), 'original': np.float32(0.74545455), 'optimized': np.float32(0.7204722), 'change_pct': np.float32(-3.3512886)}, {'param_index': np.int64(0), 'original': np.float32(0.38053095), 'optimized': np.float32(0.3140312), 'change_pct': np.float32(-17.475513)}, {'param_index': np.int64(2), 'original': np.float32(0.445), 'optimized': np.float32(0.35672924), 'change_pct': np.float32(-19.836124)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.3012948), 'change_pct': np.float32(6.9596515)}, {'param_index': np.int64(5), 'original': np.float32(0.3186813), 'optimized': np.float32(0.23099001), 'change_pct': np.float32(-27.516926)}]","[6, 0, 2, 1, 5]"
2711,success,[129.  273.   47.5],[166.48 326.84  46.06],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.1009592), 'change_pct': np.float32(909.592)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.10096901), 'change_pct': np.float32(2752.3745)}, {'param_index': np.int64(5), 'original': np.float32(0.7032967), 'optimized': np.float32(0.61353683), 'change_pct': np.float32(-12.7627325)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.057777867), 'change_pct': np.float32(4002.2285)}, {'param_index': np.int64(12), 'original': np.float32(0.92369485), 'optimized': np.float32(0.82710403), 'change_pct': np.float32(-10.4570055)}]","[2, 0, 5, 1, 12]"
2719,success,[153.  270.   49.5],[154.61  280.23   48.915],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.0721855), 'change_pct': np.float32(621.85504)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.015122247), 'change_pct': np.float32(327.2035)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.7576299), 'change_pct': np.float32(-10.461925)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06033199), 'change_pct': np.float32(4183.5713)}, {'param_index': np.int64(6), 'original': np.float32(0.0), 'optimized': np.float32(0.028856803), 'change_pct': np.float32(inf)}]","[2, 0, 5, 1, 6]"
2726,success,[440. 548.  21.],[473.86  558.96   26.035],"[{'param_index': np.int64(6), 'original': np.float32(0.8), 'optimized': np.float32(0.7030152), 'change_pct': np.float32(-12.1231)}, {'param_index': np.int64(0), 'original': np.float32(0.38643065), 'optimized': np.float32(0.35926872), 'change_pct': np.float32(-7.0289264)}, {'param_index': np.int64(2), 'original': np.float32(0.48999998), 'optimized': np.float32(0.56166005), 'change_pct': np.float32(14.624505)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.19761898), 'change_pct': np.float32(-33.185963)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.23856848), 'change_pct': np.float32(-27.634222)}]","[6, 0, 2, 1, 5]"
2733,success,[469.  570.   20.5],[406.49  537.45   27.355],"[{'param_index': np.int64(6), 'original': np.float32(0.74545455), 'optimized': np.float32(0.65781033), 'change_pct': np.float32(-11.757151)}, {'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.37848598), 'change_pct': np.float32(-19.47107)}, {'param_index': np.int64(0), 'original': np.float32(0.39233038), 'optimized': np.float32(0.36952233), 'change_pct': np.float32(-5.8134794)}, {'param_index': np.int64(1), 'original': np.float32(0.26760563), 'optimized': np.float32(0.27406546), 'change_pct': np.float32(2.4139373)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.25720334), 'change_pct': np.float32(-21.98165)}]","[6, 2, 0, 1, 5]"
2747,success,[134. 276.  49.],[161.27  325.97   46.325],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.005899705), 'optimized': np.float32(0.043897953), 'change_pct': np.float32(644.0703)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.67574704), 'change_pct': np.float32(-12.152887)}, {'param_index': np.int64(1), 'original': np.float32(0.0028169015), 'optimized': np.float32(0.070452146), 'change_pct': np.float32(2401.051)}, {'param_index': np.int64(12), 'original': np.float32(0.95180726), 'optimized': np.float32(0.8815593), 'change_pct': np.float32(-7.3804803)}]","[2, 0, 5, 1, 12]"
2775,success,[132.  272.   49.5],[160.82 327.42  45.69],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.096193425), 'change_pct': np.float32(861.93427)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.04130862), 'change_pct': np.float32(775.2264)}, {'param_index': np.int64(5), 'original': np.float32(0.7802198), 'optimized': np.float32(0.69538856), 'change_pct': np.float32(-10.872736)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.93172693), 'optimized': np.float32(0.8738465), 'change_pct': np.float32(-6.21217)}]","[2, 0, 5, 1, 12]"
2782,success,[479. 575.  17.],[332.42  545.39   24.335],"[{'param_index': np.int64(6), 'original': np.float32(0.76363635), 'optimized': np.float32(0.6636363), 'change_pct': np.float32(-13.095242)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.380614), 'change_pct': np.float32(-17.257824)}, {'param_index': np.int64(0), 'original': np.float32(0.3982301), 'optimized': np.float32(0.29941005), 'change_pct': np.float32(-24.814814)}, {'param_index': np.int64(1), 'original': np.float32(0.26760563), 'optimized': np.float32(0.16760564), 'change_pct': np.float32(-37.36842)}, {'param_index': np.int64(12), 'original': np.float32(0.369478), 'optimized': np.float32(0.3695557), 'change_pct': np.float32(0.02103629)}]","[6, 2, 0, 1, 12]"
2795,success,[134.  276.   48.5],[162.35 324.31  46.02],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.043156017), 'change_pct': np.float32(944.99194)}, {'param_index': np.int64(5), 'original': np.float32(0.8351648), 'optimized': np.float32(0.74168104), 'change_pct': np.float32(-11.193449)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.95180726), 'optimized': np.float32(0.8815593), 'change_pct': np.float32(-7.3804803)}]","[2, 0, 5, 1, 12]"
2800,success,[133.  283.   46.5],[162.1  327.05  46.21],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.1009592), 'change_pct': np.float32(909.592)}, {'param_index': np.int64(0), 'original': np.float32(0.0053097345), 'optimized': np.float32(0.102714874), 'change_pct': np.float32(1834.4633)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.6794709), 'change_pct': np.float32(-11.668785)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.057777867), 'change_pct': np.float32(4002.2285)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8470603), 'change_pct': np.float32(-10.247658)}]","[2, 0, 5, 1, 12]"
2816,success,[144. 277.  49.],[165.37  302.66   46.495],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.074621044), 'change_pct': np.float32(397.47354)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.07562947), 'change_pct': np.float32(2036.5326)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.81848943), 'change_pct': np.float32(-0.6899501)}, {'param_index': np.int64(1), 'original': np.float32(0.0042253523), 'optimized': np.float32(0.026464002), 'change_pct': np.float32(526.3147)}, {'param_index': np.int64(12), 'original': np.float32(0.8674698), 'optimized': np.float32(0.877428), 'change_pct': np.float32(1.1479602)}]","[2, 0, 5, 1, 12]"
2821,success,[138. 276.  45.],[164.17 324.82  46.08],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.10662398), 'change_pct': np.float32(966.2398)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.014756812), 'change_pct': np.float32(257.32562)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.8567713), 'change_pct': np.float32(11.380265)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.005924287), 'change_pct': np.float32(320.62436)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8505227), 'change_pct': np.float32(-9.880794)}]","[2, 0, 5, 1, 12]"
2838,success,[446.  553.   18.5],[347.95 536.39  27.91],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.8267283), 'change_pct': np.float32(13.675144)}, {'param_index': np.int64(0), 'original': np.float32(0.42182887), 'optimized': np.float32(0.45978248), 'change_pct': np.float32(8.997396)}, {'param_index': np.int64(2), 'original': np.float32(0.48499998), 'optimized': np.float32(0.3929375), 'change_pct': np.float32(-18.981955)}, {'param_index': np.int64(1), 'original': np.float32(0.26760563), 'optimized': np.float32(0.16761878), 'change_pct': np.float32(-37.36351)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.23763624), 'change_pct': np.float32(-27.917004)}]","[6, 0, 2, 1, 5]"
2857,success,[133.  275.   49.5],[159.32 324.8   47.22],"[{'param_index': np.int64(2), 'original': np.float32(0.005000001), 'optimized': np.float32(0.10020929), 'change_pct': np.float32(1904.1855)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.027459072), 'change_pct': np.float32(675.7188)}, {'param_index': np.int64(5), 'original': np.float32(0.7582417), 'optimized': np.float32(0.72144765), 'change_pct': np.float32(-4.8525515)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.05480113), 'change_pct': np.float32(3790.88)}, {'param_index': np.int64(12), 'original': np.float32(0.9116466), 'optimized': np.float32(0.89298797), 'change_pct': np.float32(-2.0466962)}]","[2, 0, 5, 1, 12]"
2865,success,[132.  293.   47.5],[161.15 324.4   46.64],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.1072418), 'change_pct': np.float32(614.9452)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.08743785), 'change_pct': np.float32(2864.1433)}, {'param_index': np.int64(5), 'original': np.float32(0.79120874), 'optimized': np.float32(0.7168394), 'change_pct': np.float32(-9.399463)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.0042789886), 'change_pct': np.float32(203.80817)}, {'param_index': np.int64(12), 'original': np.float32(0.90763044), 'optimized': np.float32(0.885028), 'change_pct': np.float32(-2.490269)}]","[2, 0, 5, 1, 12]"
2885,success,[443.  593.   20.5],[466.06  582.65   24.265],"[{'param_index': np.int64(2), 'original': np.float32(0.63000005), 'optimized': np.float32(0.6345412), 'change_pct': np.float32(0.72081876)}, {'param_index': np.int64(0), 'original': np.float32(0.49262536), 'optimized': np.float32(0.46710998), 'change_pct': np.float32(-5.179469)}, {'param_index': np.int64(6), 'original': np.float32(0.8727273), 'optimized': np.float32(0.77428716), 'change_pct': np.float32(-11.279595)}, {'param_index': np.int64(1), 'original': np.float32(0.42253524), 'optimized': np.float32(0.3264027), 'change_pct': np.float32(-22.751368)}, {'param_index': np.int64(12), 'original': np.float32(0.35341358), 'optimized': np.float32(0.27584773), 'change_pct': np.float32(-21.947613)}]","[2, 0, 6, 1, 12]"
2893,success,[131. 279.  47.],[155.39    299.38     46.76375],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.05484893), 'change_pct': np.float32(448.48932)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.06613842), 'change_pct': np.float32(1768.4103)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.9113166), 'change_pct': np.float32(7.7010484)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.092564724), 'change_pct': np.float32(6472.0957)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.8856919), 'change_pct': np.float32(-6.5519943)}]","[2, 0, 5, 1, 12]"
2897,success,[133.  280.   48.5],[159.95  327.51   45.945],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.042661387), 'change_pct': np.float32(1346.2211)}, {'param_index': np.int64(5), 'original': np.float32(0.8791208), 'optimized': np.float32(0.7856371), 'change_pct': np.float32(-10.633777)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8751694), 'change_pct': np.float32(-7.269293)}]","[2, 0, 5, 1, 12]"
2903,success,[135.  270.   48.5],[159.91  324.6    47.125],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.042908702), 'change_pct': np.float32(1112.1708)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.7526701), 'change_pct': np.float32(-11.0480795)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.95983934), 'optimized': np.float32(0.8879492), 'change_pct': np.float32(-7.489807)}]","[2, 0, 5, 1, 12]"
2904,success,[132. 271.  53.],[160.44  326.53   45.575],"[{'param_index': np.int64(2), 'original': np.float32(0.005000001), 'optimized': np.float32(0.10020929), 'change_pct': np.float32(1904.1855)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.027459072), 'change_pct': np.float32(675.7188)}, {'param_index': np.int64(5), 'original': np.float32(0.82417583), 'optimized': np.float32(0.78738177), 'change_pct': np.float32(-4.4643464)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.05480113), 'change_pct': np.float32(3790.88)}, {'param_index': np.int64(12), 'original': np.float32(0.9116466), 'optimized': np.float32(0.89298797), 'change_pct': np.float32(-2.0466962)}]","[2, 0, 5, 1, 12]"
2905,success,[134.  275.   46.5],[160.79 324.21  45.57],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.102821164), 'change_pct': np.float32(928.2117)}, {'param_index': np.int64(0), 'original': np.float32(0.005899705), 'optimized': np.float32(0.09564806), 'change_pct': np.float32(1521.2346)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.7667755), 'change_pct': np.float32(-10.542861)}, {'param_index': np.int64(1), 'original': np.float32(0.0), 'optimized': np.float32(0.0825361), 'change_pct': np.float32(inf)}, {'param_index': np.int64(12), 'original': np.float32(0.95180726), 'optimized': np.float32(0.85856587), 'change_pct': np.float32(-9.7962475)}]","[2, 0, 5, 1, 12]"
2917,success,[487. 586.  19.],[419.26  553.23   26.245],"[{'param_index': np.int64(6), 'original': np.float32(0.76363635), 'optimized': np.float32(0.738654), 'change_pct': np.float32(-3.2714958)}, {'param_index': np.int64(2), 'original': np.float32(0.475), 'optimized': np.float32(0.38672924), 'change_pct': np.float32(-18.583317)}, {'param_index': np.int64(0), 'original': np.float32(0.4159292), 'optimized': np.float32(0.34942946), 'change_pct': np.float32(-15.988235)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.3012948), 'change_pct': np.float32(6.9596515)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.24197902), 'change_pct': np.float32(-26.599693)}]","[6, 2, 0, 1, 5]"
2920,success,[156. 275.  51.],[181.03  300.55   46.115],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.06765037), 'change_pct': np.float32(576.5038)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.09679663), 'change_pct': np.float32(3181.406)}, {'param_index': np.int64(5), 'original': np.float32(0.85714287), 'optimized': np.float32(0.93803823), 'change_pct': np.float32(9.437793)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.07919043), 'change_pct': np.float32(5522.5205)}, {'param_index': np.int64(12), 'original': np.float32(0.92369485), 'optimized': np.float32(0.84917134), 'change_pct': np.float32(-8.067979)}]","[2, 0, 5, 1, 12]"
2932,success,[135. 277.  47.],[160.85 326.87  45.79],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.08777788), 'change_pct': np.float32(485.18582)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.10105583), 'change_pct': np.float32(2041.1204)}, {'param_index': np.int64(5), 'original': np.float32(0.7692308), 'optimized': np.float32(0.86675537), 'change_pct': np.float32(12.678196)}, {'param_index': np.int64(1), 'original': np.float32(0.0028169015), 'optimized': np.float32(0.001444196), 'change_pct': np.float32(-48.731045)}, {'param_index': np.int64(12), 'original': np.float32(0.9277108), 'optimized': np.float32(0.85397094), 'change_pct': np.float32(-7.94858)}]","[2, 0, 5, 1, 12]"
2938,success,[471. 823.  22.],[465.73  694.85   27.545],"[{'param_index': np.int64(2), 'original': np.float32(0.89500004), 'optimized': np.float32(0.8256922), 'change_pct': np.float32(-7.743895)}, {'param_index': np.int64(0), 'original': np.float32(0.71091443), 'optimized': np.float32(0.8056439), 'change_pct': np.float32(13.325019)}, {'param_index': np.int64(1), 'original': np.float32(0.5633803), 'optimized': np.float32(0.4954055), 'change_pct': np.float32(-12.065528)}, {'param_index': np.int64(3), 'original': np.float32(0.23595506), 'optimized': np.float32(0.1446234), 'change_pct': np.float32(-38.707226)}, {'param_index': np.int64(5), 'original': np.float32(0.043956045), 'optimized': np.float32(0.04186096), 'change_pct': np.float32(-4.7663174)}]","[2, 0, 1, 3, 5]"
2940,success,[134. 273.  49.],[161.96 326.76  46.8 ],"[{'param_index': np.int64(2), 'original': np.float32(0.005000001), 'optimized': np.float32(0.090007044), 'change_pct': np.float32(1700.1406)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.043156017), 'change_pct': np.float32(944.99194)}, {'param_index': np.int64(5), 'original': np.float32(0.7032967), 'optimized': np.float32(0.609813), 'change_pct': np.float32(-13.29222)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9437752), 'optimized': np.float32(0.8751694), 'change_pct': np.float32(-7.269293)}]","[2, 0, 5, 1, 12]"
2942,success,[435. 541.  22.],[417.6   526.09   28.165],"[{'param_index': np.int64(6), 'original': np.float32(0.7090909), 'optimized': np.float32(0.6119056), 'change_pct': np.float32(-13.705622)}, {'param_index': np.int64(0), 'original': np.float32(0.41002947), 'optimized': np.float32(0.4878197), 'change_pct': np.float32(18.971863)}, {'param_index': np.int64(2), 'original': np.float32(0.49499997), 'optimized': np.float32(0.4065232), 'change_pct': np.float32(-17.874098)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.2168829), 'change_pct': np.float32(-23.006573)}, {'param_index': np.int64(5), 'original': np.float32(0.30769232), 'optimized': np.float32(0.21096322), 'change_pct': np.float32(-31.436956)}]","[6, 0, 2, 1, 5]"
2944,success,[132.  290.   44.5],[160.34  302.89   46.205],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.074424684), 'change_pct': np.float32(644.2469)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.0814917), 'change_pct': np.float32(2662.5684)}, {'param_index': np.int64(5), 'original': np.float32(0.74725276), 'optimized': np.float32(0.8217034), 'change_pct': np.float32(9.9632435)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.098189905), 'change_pct': np.float32(6871.483)}, {'param_index': np.int64(12), 'original': np.float32(0.89959836), 'optimized': np.float32(0.8602873), 'change_pct': np.float32(-4.369845)}]","[2, 0, 5, 1, 12]"
2947,success,[136.  273.   49.5],[160.97  323.32   47.465],"[{'param_index': np.int64(2), 'original': np.float32(0.005000001), 'optimized': np.float32(0.10183197), 'change_pct': np.float32(1936.639)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.10123885), 'change_pct': np.float32(2759.9973)}, {'param_index': np.int64(5), 'original': np.float32(0.80219775), 'optimized': np.float32(0.70335805), 'change_pct': np.float32(-12.321114)}, {'param_index': np.int64(1), 'original': np.float32(0.0028169015), 'optimized': np.float32(0.054461397), 'change_pct': np.float32(1833.3795)}, {'param_index': np.int64(12), 'original': np.float32(0.9277108), 'optimized': np.float32(0.8885964), 'change_pct': np.float32(-4.2162232)}]","[2, 0, 5, 1, 12]"
2964,success,[481.  825.   20.5],[460.88       696.67        27.95333333],"[{'param_index': np.int64(2), 'original': np.float32(0.89500004), 'optimized': np.float32(0.8256922), 'change_pct': np.float32(-7.743895)}, {'param_index': np.int64(0), 'original': np.float32(0.71091443), 'optimized': np.float32(0.8056439), 'change_pct': np.float32(13.325019)}, {'param_index': np.int64(1), 'original': np.float32(0.5633803), 'optimized': np.float32(0.4954055), 'change_pct': np.float32(-12.065528)}, {'param_index': np.int64(3), 'original': np.float32(0.23595506), 'optimized': np.float32(0.1446234), 'change_pct': np.float32(-38.707226)}, {'param_index': np.int64(5), 'original': np.float32(0.043956045), 'optimized': np.float32(0.04186096), 'change_pct': np.float32(-4.7663174)}]","[2, 0, 1, 3, 5]"
