sample_id,status,original_performance,optimized_performance,param_changes,top_params
198,success,[467. 814.  21.],[450.92  745.94   28.005],"[{'param_index': np.int64(2), 'original': np.float32(0.89500004), 'optimized': np.float32(0.814228), 'change_pct': np.float32(-9.024809)}, {'param_index': np.int64(0), 'original': np.float32(0.7522124), 'optimized': np.float32(0.84277797), 'change_pct': np.float32(12.039892)}, {'param_index': np.int64(1), 'original': np.float32(0.53521127), 'optimized': np.float32(0.44789273), 'change_pct': np.float32(-16.31478)}, {'param_index': np.int64(3), 'original': np.float32(0.258427), 'optimized': np.float32(0.17018934), 'change_pct': np.float32(-34.144135)}, {'param_index': np.int64(5), 'original': np.float32(0.06593406), 'optimized': np.float32(0.11033754), 'change_pct': np.float32(67.345276)}]","[2, 0, 1, 3, 5]"
204,success,[465.  568.   18.5],[442.27  539.07   30.485],"[{'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.60035104), 'change_pct': np.float32(-13.107087)}, {'param_index': np.int64(0), 'original': np.float32(0.42182887), 'optimized': np.float32(0.34438822), 'change_pct': np.float32(-18.358309)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.5498022), 'change_pct': np.float32(19.522213)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.21101192), 'change_pct': np.float32(-25.090773)}, {'param_index': np.int64(5), 'original': np.float32(0.34065932), 'optimized': np.float32(0.24439476), 'change_pct': np.float32(-28.258307)}]","[6, 0, 2, 1, 5]"
208,success,[143. 261.  49.],[158.76  320.95   46.515],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.101636186), 'change_pct': np.float32(916.3619)}, {'param_index': np.int64(0), 'original': np.float32(0.002359882), 'optimized': np.float32(0.005968298), 'change_pct': np.float32(152.90662)}, {'param_index': np.int64(5), 'original': np.float32(0.7582417), 'optimized': np.float32(0.70191616), 'change_pct': np.float32(-7.4284434)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.091261245), 'change_pct': np.float32(6379.5483)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.85270584), 'change_pct': np.float32(-10.032302)}]","[2, 0, 5, 1, 12]"
238,success,[137. 272.  50.],[160.93  324.     47.025],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.10028221), 'change_pct': np.float32(902.82214)}, {'param_index': np.int64(0), 'original': np.float32(0.0017699115), 'optimized': np.float32(0.078502744), 'change_pct': np.float32(4335.405)}, {'param_index': np.int64(5), 'original': np.float32(0.8131868), 'optimized': np.float32(0.7647908), 'change_pct': np.float32(-5.951406)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.096204855), 'change_pct': np.float32(6730.5444)}, {'param_index': np.int64(12), 'original': np.float32(0.939759), 'optimized': np.float32(0.87629163), 'change_pct': np.float32(-6.753581)}]","[2, 0, 5, 1, 12]"
241,success,[466.  570.   21.5],[411.83 545.13  27.52],"[{'param_index': np.int64(6), 'original': np.float32(0.7272727), 'optimized': np.float32(0.62827927), 'change_pct': np.float32(-13.611595)}, {'param_index': np.int64(2), 'original': np.float32(0.48499998), 'optimized': np.float32(0.4101043), 'change_pct': np.float32(-15.442409)}, {'param_index': np.int64(0), 'original': np.float32(0.42182887), 'optimized': np.float32(0.38197055), 'change_pct': np.float32(-9.448929)}, {'param_index': np.int64(1), 'original': np.float32(0.26760563), 'optimized': np.float32(0.2717735), 'change_pct': np.float32(1.5574615)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.2532437), 'change_pct': np.float32(-23.182735)}]","[6, 2, 0, 1, 5]"
247,success,[457. 562.  22.],[418.25 540.06  23.26],"[{'param_index': np.int64(6), 'original': np.float32(0.7818182), 'optimized': np.float32(0.6887618), 'change_pct': np.float32(-11.902568)}, {'param_index': np.int64(2), 'original': np.float32(0.48499998), 'optimized': np.float32(0.3890293), 'change_pct': np.float32(-19.787771)}, {'param_index': np.int64(0), 'original': np.float32(0.40412977), 'optimized': np.float32(0.31080237), 'change_pct': np.float32(-23.093424)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.22415544), 'change_pct': np.float32(-24.21411)}, {'param_index': np.int64(12), 'original': np.float32(0.36546183), 'optimized': np.float32(0.41088066), 'change_pct': np.float32(12.427791)}]","[6, 2, 0, 1, 12]"
262,success,[134.  273.   49.5],[160.78  323.4    47.745],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.104946494), 'change_pct': np.float32(599.6432)}, {'param_index': np.int64(0), 'original': np.float32(0.003539823), 'optimized': np.float32(0.079884015), 'change_pct': np.float32(2156.7234)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.7977578), 'change_pct': np.float32(-5.719533)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.096204855), 'change_pct': np.float32(6730.5444)}, {'param_index': np.int64(12), 'original': np.float32(0.939759), 'optimized': np.float32(0.87629163), 'change_pct': np.float32(-6.753581)}]","[2, 0, 5, 1, 12]"
295,success,[132. 278.  48.],[161.03  303.84   46.525],"[{'param_index': np.int64(2), 'original': np.float32(0.020000001), 'optimized': np.float32(0.076592565), 'change_pct': np.float32(282.96277)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.085939094), 'change_pct': np.float32(2813.3354)}, {'param_index': np.int64(5), 'original': np.float32(0.6923077), 'optimized': np.float32(0.595766), 'change_pct': np.float32(-13.944912)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.058178615), 'change_pct': np.float32(4030.6816)}, {'param_index': np.int64(12), 'original': np.float32(0.9638555), 'optimized': np.float32(0.87521833), 'change_pct': np.float32(-9.196106)}]","[2, 0, 5, 1, 12]"
321,success,[139.  274.   50.5],[161.09  323.87   46.795],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.042661387), 'change_pct': np.float32(1346.2211)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.7526701), 'change_pct': np.float32(-11.0480795)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.95180726), 'optimized': np.float32(0.8815593), 'change_pct': np.float32(-7.3804803)}]","[2, 0, 5, 1, 12]"
322,success,[130. 272.  48.],[162.8  326.48  45.55],"[{'param_index': np.int64(2), 'original': np.float32(0.005000001), 'optimized': np.float32(0.09171932), 'change_pct': np.float32(1734.3861)}, {'param_index': np.int64(0), 'original': np.float32(0.004719764), 'optimized': np.float32(0.04130862), 'change_pct': np.float32(775.2264)}, {'param_index': np.int64(5), 'original': np.float32(0.73626375), 'optimized': np.float32(0.6514325), 'change_pct': np.float32(-11.521854)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.939759), 'optimized': np.float32(0.87980497), 'change_pct': np.float32(-6.379726)}]","[2, 0, 5, 1, 12]"
