sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_params
198,success,"[467.0, 814.0, 21.0]","[450.92, 745.94, 28.005]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.8950000405311584, 'optimized': 0.8142279982566833, 'change_pct': -9.024808883666992}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.752212405204773, 'optimized': 0.8427779674530029, 'change_pct': 12.039892196655273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.5352112650871277, 'optimized': 0.4478927254676819, 'change_pct': -16.31477928161621}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.2584269940853119, 'optimized': 0.17018933594226837, 'change_pct': -34.144134521484375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.06593406200408936, 'optimized': 0.11033754050731659, 'change_pct': 67.34527587890625}]","[2, 0, 1, 3, 5]","['锰', '碳', '硅', '磷', '钛']"
204,success,"[465.0, 568.0, 18.5]","[442.27, 539.07, 30.485]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.46000000834465027, 'optimized': 0.5498021841049194, 'change_pct': 19.522212982177734}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.6909090876579285, 'optimized': 0.6003510355949402, 'change_pct': -13.107087135314941}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.42182886600494385, 'optimized': 0.3443882167339325, 'change_pct': -18.358308792114258}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.21101191639900208, 'change_pct': -25.09077262878418}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.34065932035446167, 'optimized': 0.24439476430416107, 'change_pct': -28.2583065032959}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
208,success,"[143.0, 261.0, 49.0]","[171.38, 326.03, 46.44]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10282116383314133, 'change_pct': 928.211669921875}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0023598819971084595, 'optimized': 0.09241488575935364, 'change_pct': 3816.080810546875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7582417130470276, 'optimized': 0.6678743362426758, 'change_pct': -11.918017387390137}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.0836985781788826, 'change_pct': 5842.5986328125}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.8586931228637695, 'change_pct': -9.400591850280762}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
238,success,"[137.0, 272.0, 50.0]","[160.91, 323.95, 47.025]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0017699114978313446, 'optimized': 0.04216676577925682, 'change_pct': 2282.42236328125}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8131868243217468, 'optimized': 0.7197030782699585, 'change_pct': -11.495973587036133}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9397590160369873, 'optimized': 0.8738466501235962, 'change_pct': -7.01375150680542}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
241,success,"[466.0, 570.0, 21.5]","[411.83, 545.13, 27.52]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.48499998450279236, 'optimized': 0.41010430455207825, 'change_pct': -15.442408561706543}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7272726893424988, 'optimized': 0.6282792687416077, 'change_pct': -13.611595153808594}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.42182886600494385, 'optimized': 0.3819705545902252, 'change_pct': -9.448928833007812}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.26760563254356384, 'optimized': 0.27177348732948303, 'change_pct': 1.5574615001678467}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3296703100204468, 'optimized': 0.25324371457099915, 'change_pct': -23.182735443115234}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
247,success,"[457.0, 562.0, 22.0]","[418.25, 540.06, 23.26]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.48499998450279236, 'optimized': 0.38902929425239563, 'change_pct': -19.787771224975586}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7818182110786438, 'optimized': 0.6887617707252502, 'change_pct': -11.902567863464355}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4041297733783722, 'optimized': 0.3108023703098297, 'change_pct': -23.09342384338379}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.2957746386528015, 'optimized': 0.22415544092655182, 'change_pct': -24.214109420776367}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.3654618263244629, 'optimized': 0.4088246524333954, 'change_pct': 11.865213394165039}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
262,success,"[134.0, 273.0, 49.5]","[160.78, 323.38, 47.8]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.09878821671009064, 'change_pct': 558.5880126953125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.003539822995662689, 'optimized': 0.04290870204567909, 'change_pct': 1112.1707763671875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8461538553237915, 'optimized': 0.7526701092720032, 'change_pct': -11.048079490661621}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9397590160369873, 'optimized': 0.8738466501235962, 'change_pct': -7.01375150680542}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
295,success,"[132.0, 278.0, 48.0]","[161.03, 303.84, 46.525]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.020000001415610313, 'optimized': 0.07659256458282471, 'change_pct': 282.9627685546875}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.08593909442424774, 'change_pct': 2813.33544921875}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.692307710647583, 'optimized': 0.595766007900238, 'change_pct': -13.94491195678711}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.0581786148250103, 'change_pct': 4030.681640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.963855504989624, 'optimized': 0.8787199854850769, 'change_pct': -8.832809448242188}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
321,success,"[139.0, 274.0, 50.5]","[161.09, 323.87, 46.795]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.0426613874733448, 'change_pct': 1346.2210693359375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8461538553237915, 'optimized': 0.7526701092720032, 'change_pct': -11.048079490661621}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9518072605133057, 'optimized': 0.883431613445282, 'change_pct': -7.183770179748535}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
322,success,"[130.0, 272.0, 48.0]","[162.8, 326.48, 45.55]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.005000000819563866, 'optimized': 0.09171932190656662, 'change_pct': 1734.3861083984375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004719763994216919, 'optimized': 0.04130861908197403, 'change_pct': 775.2263793945312}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7362637519836426, 'optimized': 0.6514325141906738, 'change_pct': -11.521854400634766}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.08031530678272247, 'change_pct': 5602.38671875}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9397590160369873, 'optimized': 0.881008505821228, 'change_pct': -6.251657009124756}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
